Rating,Review Count,Product URL
3.5 out of 5 stars,15,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A07004233CFDCW35T3JVF&url=%2FAcer-A514-52G-i5-10210U-processor-Graphics%2Fdp%2FB08F3RL8TZ%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1624540817%26sr%3D8-38-spons%26psc%3D1&qualifier=1624540817&id=5489199899553659&widgetName=sp_btf
,N/A,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A060270126RZ5KQS3DVDB&url=%2FRenewed-Lenovo-Hybrid-Thinkpad-Numeric%2Fdp%2FB08T9WT52F%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1624540820%26sr%3D8-33-spons%26psc%3D1&qualifier=1624540820&id=2435475791943888&widgetName=sp_atf_next
3.4 out of 5 stars,7,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A06921753CDKIATDDR2CE&url=%2FAcer-A514-53-i5-1035G1-processor-Graphics%2Fdp%2FB08GMR37BH%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1624540820%26sr%3D8-34-spons%26psc%3D1%26smid%3DA2W4R6KXCY4TRS&qualifier=1624540820&id=2435475791943888&widgetName=sp_atf_next
N/A,N/A,https://www.amazon.in//Lenovo-Windows-Microsoft-Student-82C500X9IH/dp/B095YVGNPH/ref=sr_1_35?dchild=1&keywords=laptop&qid=1624540820&sr=8-35
4.5 out of 5 stars,41,https://www.amazon.in//HP-Laptop-14-Inch-Windows-dy2501tu/dp/B093VZC5X9/ref=sr_1_36?dchild=1&keywords=laptop&qid=1624540820&sr=8-36
4.0 out of 5 stars,142,https://www.amazon.in//HP-Processor-14-inch-Windows-14s-dq2535TU/dp/B0928NL6F3/ref=sr_1_37?dchild=1&keywords=laptop&qid=1624540820&sr=8-37
3.8 out of 5 stars,56,https://www.amazon.in//Lenovo-Ideapad-Windows-GeForce-81LK01QTIN/dp/B092MTLNBB/ref=sr_1_38?dchild=1&keywords=laptop&qid=1624540820&sr=8-38
3.4 out of 5 stars,42,https://www.amazon.in//Lenovo-Integrated-Graphics-Platinum-81W100W9IN/dp/B08JCP96XL/ref=sr_1_39?dchild=1&keywords=laptop&qid=1624540820&sr=8-39
3.0 out of 5 stars,10,https://www.amazon.in//Renewed-Dell-Latitude-Laptop-E3380/dp/B093W18D5L/ref=sr_1_40?dchild=1&keywords=laptop&qid=1624540820&sr=8-40
3.0 out of 5 stars,439,https://www.amazon.in//Acer-Aspire-Intel-Core-i3-10th/dp/B088CFBQFN/ref=sr_1_41?dchild=1&keywords=laptop&qid=1624540820&sr=8-41
1.0 out of 5 stars,1,https://www.amazon.in//Lenovo-IdeaPad-Office2019-Fingerprint-82H700KAIN/dp/B09634WK1T/ref=sr_1_42?dchild=1&keywords=laptop&qid=1624540820&sr=8-42
3.9 out of 5 stars,411,https://www.amazon.in//HP-Chromebook-14a-na0002TU-Integrated-Graphics/dp/B08C5WLK3P/ref=sr_1_43?dchild=1&keywords=laptop&qid=1624540820&sr=8-43
3.7 out of 5 stars,9,https://www.amazon.in//HP-245-1S5E8PA-ATHLON-3050U-14inch/dp/B08P1LGK4F/ref=sr_1_44?dchild=1&keywords=laptop&qid=1624540820&sr=8-44
4.4 out of 5 stars,37,https://www.amazon.in//Lenovo-14-inch-Integrated-Graphics-82A2008VIN/dp/B08LKQBR8R/ref=sr_1_45?dchild=1&keywords=laptop&qid=1624540820&sr=8-45
4.4 out of 5 stars,876,https://www.amazon.in//Notebook-Horizon-i5-10210U-Graphics-XMA1904-AR/dp/B089F5JGM1/ref=sr_1_46?dchild=1&keywords=laptop&qid=1624540820&sr=8-46
3.3 out of 5 stars,190,https://www.amazon.in//HP-cf3006tu-14-inch-i3-1005G1-Graphics/dp/B08CHWNVNH/ref=sr_1_47?dchild=1&keywords=laptop&qid=1624540820&sr=8-47
3.6 out of 5 stars,101,https://www.amazon.in//ASUS-VivoBook-Integrated-Graphics-M409DA-EK456T/dp/B08CHVG9QC/ref=sr_1_48?dchild=1&keywords=laptop&qid=1624540820&sr=8-48
4.3 out of 5 stars,104,https://www.amazon.in//HP-Pavilion-Touchscreen-Convertible-14-dw1036TU/dp/B08SRDW9ZT/ref=sr_1_49?dchild=1&keywords=laptop&qid=1624540820&sr=8-49
,N/A,https://www.amazon.in//Renewed-Lenovo-Thinkpad-Hybrid-Laptop/dp/B097C4P1CL/ref=sr_1_50?dchild=1&keywords=laptop&qid=1624540820&sr=8-50
3.4 out of 5 stars,39,https://www.amazon.in//Acer-Aspire-Ryzen-3200U-39-62cms/dp/B08WLR5NNR/ref=sr_1_49?dchild=1&keywords=laptop&qid=1624540823&sr=8-49
2.7 out of 5 stars,5,https://www.amazon.in//Lenovo-15-6-inch-Integrated-Graphics-82C700HXIH/dp/B095JW3CCX/ref=sr_1_50?dchild=1&keywords=laptop&qid=1624540823&sr=8-50
4.4 out of 5 stars,147,https://www.amazon.in//HP-14-inch-Windows-Natural-14s-fq1030AU/dp/B0928TPR8H/ref=sr_1_51?dchild=1&keywords=laptop&qid=1624540823&sr=8-51
,N/A,https://www.amazon.in//HP-EliteBook-Bluetooth-Integrated-Graphics/dp/B096PH6NL9/ref=sr_1_52?dchild=1&keywords=laptop&qid=1624540823&sr=8-52
4.3 out of 5 stars,171,https://www.amazon.in//ASUS-VivoBook-i3-1005G1-Integrated-X415JA-EK092TS/dp/B08JMR2GXG/ref=sr_1_53?dchild=1&keywords=laptop&qid=1624540823&sr=8-53
3.7 out of 5 stars,43,https://www.amazon.in//Lenovo-82C700D4IH-Laptop-Integrated-Graphics/dp/B08DHT9JSK/ref=sr_1_54?dchild=1&keywords=laptop&qid=1624540823&sr=8-54
4.4 out of 5 stars,255,https://www.amazon.in//Lenovo-ThinkPad-14-inch-Microsoft-20T6S0UQ00/dp/B0922KX1MX/ref=sr_1_55?dchild=1&keywords=laptop&qid=1624540823&sr=8-55
4.3 out of 5 stars,85,https://www.amazon.in//HP-Pavilion-Graphics-39-62cms-15-eg0103TX/dp/B08XBZBFCQ/ref=sr_1_56?dchild=1&keywords=laptop&qid=1624540823&sr=8-56
3.8 out of 5 stars,88,https://www.amazon.in//Dell-i3-1005G1-Integrated-Graphics-D552126WIN9DE/dp/B08QMCMMPS/ref=sr_1_57?dchild=1&keywords=laptop&qid=1624540823&sr=8-57
,N/A,https://www.amazon.in//Renewed-Lenovo-Thinkpad-Laptop-Intel/dp/B097KLJR4F/ref=sr_1_58?dchild=1&keywords=laptop&qid=1624540823&sr=8-58
,N/A,https://www.amazon.in//Dell-i5-1135G7-Integrated-Graphics-D552173WIN9DE/dp/B08X4NRJ9Q/ref=sr_1_59?dchild=1&keywords=laptop&qid=1624540823&sr=8-59
4.3 out of 5 stars,146,https://www.amazon.in//Lenovo-ThinkPad-Fingerprint-Aluminium-20TDS0A200/dp/B08Y938BLK/ref=sr_1_60?dchild=1&keywords=laptop&qid=1624540823&sr=8-60
4.4 out of 5 stars,581,https://www.amazon.in//HP-Pavilion-Touchscreen-i3-10110U-14-dh1178tu/dp/B08GD95H1N/ref=sr_1_61?dchild=1&keywords=laptop&qid=1624540823&sr=8-61
3.8 out of 5 stars,93,https://www.amazon.in//Acer-Extensa-Processor-Integrated-EX215-31/dp/B095BYNN8Z/ref=sr_1_62?dchild=1&keywords=laptop&qid=1624540823&sr=8-62
3.3 out of 5 stars,16,https://www.amazon.in//Dell-Inspiron-3505-Integrated-D560429WIN9S/dp/B093H9FG45/ref=sr_1_63?dchild=1&keywords=laptop&qid=1624540823&sr=8-63
3.4 out of 5 stars,78,https://www.amazon.in//Lenovo-82C7A006IH-Windows-10-Integrated-Graphics/dp/B08DHZS1XQ/ref=sr_1_64?dchild=1&keywords=laptop&qid=1624540823&sr=8-64
4.0 out of 5 stars,1,https://www.amazon.in//HP-i3-1115G4-Windows-Graphics-42V68PA/dp/B096G1V3RC/ref=sr_1_65?dchild=1&keywords=laptop&qid=1624540825&sr=8-65
2.7 out of 5 stars,5,https://www.amazon.in//HP-Commercial-Laptop-Windows-3Y666PA/dp/B0913DBMV8/ref=sr_1_66?dchild=1&keywords=laptop&qid=1624540825&sr=8-66
3.7 out of 5 stars,116,https://www.amazon.in//Lenovo-V15-Windows-Graphics-82C7003PIH/dp/B08HJJKDSH/ref=sr_1_67?dchild=1&keywords=laptop&qid=1624540825&sr=8-67
2.5 out of 5 stars,3,https://www.amazon.in//Acer-Aspire-Laptop-Intel-Core/dp/B0937CXX8H/ref=sr_1_68?dchild=1&keywords=laptop&qid=1624540825&sr=8-68
2.7 out of 5 stars,7,https://www.amazon.in//Lenovo-E41-45-82BFS00300-A9-9425-Warranty/dp/B091NX3DRV/ref=sr_1_69?dchild=1&keywords=laptop&qid=1624540825&sr=8-69
3.7 out of 5 stars,8,https://www.amazon.in//HP-Processor-39-62cms-Integrated-15s-fq2075TU/dp/B08XNXJDVX/ref=sr_1_70?dchild=1&keywords=laptop&qid=1624540825&sr=8-70
3.1 out of 5 stars,4,https://www.amazon.in//Essential-NE14A2INC44A-MB-Celeron-N4020-Integrated-Graphics/dp/B08YR9DDVZ/ref=sr_1_71?dchild=1&keywords=laptop&qid=1624540825&sr=8-71
4.5 out of 5 stars,108,https://www.amazon.in//HP-Pavilion-Graphics-35-56cms-14-dv0058TU/dp/B08WB857GB/ref=sr_1_72?dchild=1&keywords=laptop&qid=1624540825&sr=8-72
3.4 out of 5 stars,12,https://www.amazon.in//HP-Pentium-14-inch-Windows-14s-dq3018TU/dp/B0928S5XS2/ref=sr_1_73?dchild=1&keywords=laptop&qid=1624540825&sr=8-73
